"U.S. Census Bureau"
"Source: Advance Monthly Sales for Retail and Food Services"
"444: Building Mat. and Garden Equip. and Supplies Dealers: U.S. Total"
"Seasonally Adjusted Sales - Monthly [Millions of Dollars]"
"Period: 1992 to 2020"
"Data Extracted on: August 16, 2020 (3:18 pm)"

Period,Value
Jan-1992,10845
Feb-1992,10904
Mar-1992,10986
Apr-1992,10738
May-1992,10777
Jun-1992,10790
Jul-1992,10785
Aug-1992,10915
Sep-1992,10980
Oct-1992,10971
Nov-1992,10873
Dec-1992,11082
Jan-1993,11333
Feb-1993,11410
Mar-1993,11184
Apr-1993,11417
May-1993,11720
Jun-1993,11669
Jul-1993,11781
Aug-1993,11875
Sep-1993,11786
Oct-1993,11908
Nov-1993,12297
Dec-1993,12583
Jan-1994,12316
Feb-1994,12233
Mar-1994,12767
Apr-1994,13076
May-1994,13033
Jun-1994,12987
Jul-1994,13130
Aug-1994,13224
Sep-1994,13375
Oct-1994,13550
Nov-1994,13384
Dec-1994,13981
Jan-1995,13738
Feb-1995,13613
Mar-1995,13587
Apr-1995,13415
May-1995,13370
Jun-1995,13548
Jul-1995,13645
Aug-1995,13683
Sep-1995,13837
Oct-1995,13932
Nov-1995,14092
Dec-1995,14683
Jan-1996,14023
Feb-1996,14036
Mar-1996,14153
Apr-1996,14340
May-1996,14450
Jun-1996,14902
Jul-1996,14826
Aug-1996,14981
Sep-1996,14989
Oct-1996,15040
Nov-1996,15264
Dec-1996,14980
Jan-1997,15197
Feb-1997,15561
Mar-1997,15862
Apr-1997,15709
May-1997,15805
Jun-1997,15918
Jul-1997,15973
Aug-1997,16027
Sep-1997,16283
Oct-1997,16232
Nov-1997,16158
Dec-1997,16356
Jan-1998,16436
Feb-1998,16462
Mar-1998,16511
Apr-1998,16716
May-1998,16741
Jun-1998,16662
Jul-1998,16819
Aug-1998,16828
Sep-1998,16972
Oct-1998,17209
Nov-1998,17341
Dec-1998,17702
Jan-1999,17732
Feb-1999,17943
Mar-1999,17760
Apr-1999,17791
May-1999,17914
Jun-1999,17969
Jul-1999,18183
Aug-1999,18341
Sep-1999,18175
Oct-1999,18606
Nov-1999,18944
Dec-1999,19125
Jan-2000,19613
Feb-2000,19193
Mar-2000,20175
Apr-2000,18986
May-2000,18941
Jun-2000,18878
Jul-2000,18982
Aug-2000,18951
Sep-2000,18926
Oct-2000,18965
Nov-2000,18689
Dec-2000,19356
Jan-2001,19248
Feb-2001,19698
Mar-2001,19562
Apr-2001,20373
May-2001,20147
Jun-2001,19900
Jul-2001,19838
Aug-2001,19920
Sep-2001,19664
Oct-2001,20054
Nov-2001,19982
Dec-2001,20120
Jan-2002,20359
Feb-2002,20515
Mar-2002,20370
Apr-2002,21274
May-2002,20874
Jun-2002,20725
Jul-2002,20674
Aug-2002,20683
Sep-2002,20732
Oct-2002,20603
Nov-2002,20969
Dec-2002,20415
Jan-2003,21270
Feb-2003,20041
Mar-2003,21326
Apr-2003,21139
May-2003,21328
Jun-2003,22003
Jul-2003,22372
Aug-2003,22489
Sep-2003,22630
Oct-2003,22869
Nov-2003,22864
Dec-2003,22748
Jan-2004,22637
Feb-2004,22727
Mar-2004,24992
Apr-2004,24565
May-2004,24420
Jun-2004,24622
Jul-2004,24538
Aug-2004,24713
Sep-2004,25045
Oct-2004,24842
Nov-2004,24974
Dec-2004,25679
Jan-2005,26126
Feb-2005,25797
Mar-2005,26219
Apr-2005,26520
May-2005,26510
Jun-2005,26569
Jul-2005,26538
Aug-2005,26814
Sep-2005,27111
Oct-2005,27664
Nov-2005,27674
Dec-2005,27324
Jan-2006,29686
Feb-2006,29479
Mar-2006,29289
Apr-2006,28905
May-2006,27864
Jun-2006,27339
Jul-2006,27327
Aug-2006,27358
Sep-2006,26994
Oct-2006,27161
Nov-2006,26647
Dec-2006,27100
Jan-2007,27533
Feb-2007,27088
Mar-2007,27506
Apr-2007,26610
May-2007,27144
Jun-2007,26638
Jul-2007,26860
Aug-2007,26625
Sep-2007,26412
Oct-2007,26248
Nov-2007,26566
Dec-2007,25634
Jan-2008,25721
Feb-2008,25659
Mar-2008,25456
Apr-2008,25292
May-2008,25650
Jun-2008,25700
Jul-2008,25897
Aug-2008,25329
Sep-2008,25217
Oct-2008,24568
Nov-2008,23196
Dec-2008,22909
Jan-2009,22758
Feb-2009,22498
Mar-2009,22149
Apr-2009,22092
May-2009,22310
Jun-2009,22332
Jul-2009,21883
Aug-2009,21474
Sep-2009,21363
Oct-2009,20661
Nov-2009,20931
Dec-2009,20849
Jan-2010,20566
Feb-2010,20448
Mar-2010,21883
Apr-2010,23518
May-2010,21742
Jun-2010,21544
Jul-2010,21499
Aug-2010,21268
Sep-2010,21336
Oct-2010,22040
Nov-2010,21964
Dec-2010,22099
Jan-2011,21484
Feb-2011,21193
Mar-2011,21863
Apr-2011,22066
May-2011,22324
Jun-2011,22720
Jul-2011,22761
Aug-2011,22786
Sep-2011,22637
Oct-2011,23242
Nov-2011,22904
Dec-2011,23447
Jan-2012,23618
Feb-2012,23573
Mar-2012,24570
Apr-2012,23390
May-2012,22748
Jun-2012,22571
Jul-2012,22697
Aug-2012,23075
Sep-2012,23696
Oct-2012,23820
Nov-2012,24108
Dec-2012,24130
Jan-2013,24402
Feb-2013,24824
Mar-2013,24800
Apr-2013,24974
May-2013,25461
Jun-2013,24969
Jul-2013,25564
Aug-2013,25513
Sep-2013,25519
Oct-2013,25159
Nov-2013,25104
Dec-2013,25269
Jan-2014,25200
Feb-2014,25123
Mar-2014,25620
Apr-2014,26544
May-2014,26785
Jun-2014,26989
Jul-2014,26478
Aug-2014,27015
Sep-2014,26977
Oct-2014,26920
Nov-2014,27121
Dec-2014,26813
Jan-2015,27057
Feb-2015,26077
Mar-2015,27117
Apr-2015,27349
May-2015,27399
Jun-2015,27164
Jul-2015,27957
Aug-2015,28045
Sep-2015,27874
Oct-2015,28040
Nov-2015,28352
Dec-2015,28884
Jan-2016,28977
Feb-2016,29020
Mar-2016,29733
Apr-2016,28772
May-2016,28350
Jun-2016,29117
Jul-2016,28866
Aug-2016,28796
Sep-2016,28963
Oct-2016,29103
Nov-2016,29337
Dec-2016,29306
Jan-2017,29845
Feb-2017,30162
Mar-2017,29957
Apr-2017,30299
May-2017,30025
Jun-2017,30036
Jul-2017,30230
Aug-2017,30331
Sep-2017,31432
Oct-2017,31043
Nov-2017,31402
Dec-2017,31459
Jan-2018,30524
Feb-2018,31333
Mar-2018,30901
Apr-2018,30952
May-2018,31793
Jun-2018,32290
Jul-2018,32292
Aug-2018,32056
Sep-2018,32202
Oct-2018,32791
Nov-2018,32004
Dec-2018,32018
Jan-2019,33530
Feb-2019,31585
Mar-2019,31654
Apr-2019,31750
May-2019,31200
Jun-2019,31280
Jul-2019,31533
Aug-2019,32617
Sep-2019,32159
Oct-2019,32177
Nov-2019,32308
Dec-2019,32807
Jan-2020,33922
Feb-2020,33314
Mar-2020,33544
Apr-2020,32815
May-2020,37004
Jun-2020,37295
Jul-2020,36211
Aug-2020,"NA"
Sep-2020,"NA"
Oct-2020,"NA"
Nov-2020,"NA"
Dec-2020,"NA"
