"U.S. Census Bureau"
"Source: Advance Monthly Sales for Retail and Food Services"
"444: Building Mat. and Garden Equip. and Supplies Dealers: U.S. Total"
"Not Seasonally Adjusted Sales - Monthly [Millions of Dollars]"
"Period: 1992 to 2020"
"Data Extracted on: August 16, 2020 (3:18 pm)"

Period,Value
Jan-1992,8964
Feb-1992,9023
Mar-1992,10608
Apr-1992,11630
May-1992,12327
Jun-1992,12219
Jul-1992,11658
Aug-1992,11219
Sep-1992,11309
Oct-1992,11605
Nov-1992,10156
Dec-1992,10271
Jan-1993,8947
Feb-1993,9208
Mar-1993,11073
Apr-1993,12374
May-1993,13296
Jun-1993,13209
Jul-1993,12523
Aug-1993,12470
Sep-1993,12149
Oct-1993,12220
Nov-1993,11872
Dec-1993,11623
Jan-1994,9725
Feb-1994,9861
Mar-1994,12658
Apr-1994,13937
May-1994,15025
Jun-1994,14724
Jul-1994,13602
Aug-1994,14320
Sep-1994,13803
Oct-1994,13894
Nov-1994,12991
Dec-1994,12688
Jan-1995,11086
Feb-1995,10967
Mar-1995,13447
Apr-1995,13907
May-1995,15700
Jun-1995,15414
Jul-1995,14174
Aug-1995,14783
Sep-1995,13950
Oct-1995,14616
Nov-1995,13600
Dec-1995,12917
Jan-1996,11587
Feb-1996,11828
Mar-1996,13406
Apr-1996,15667
May-1996,16952
Jun-1996,16177
Jul-1996,16228
Aug-1996,15796
Sep-1996,14901
Oct-1996,16190
Nov-1996,14430
Dec-1996,13521
Jan-1997,12505
Feb-1997,12534
Mar-1997,15084
Apr-1997,17183
May-1997,18390
Jun-1997,17601
Jul-1997,17455
Aug-1997,16268
Sep-1997,16662
Oct-1997,17319
Nov-1997,14815
Dec-1997,15247
Jan-1998,13303
Feb-1998,13298
Mar-1998,16065
Apr-1998,18342
May-1998,19145
Jun-1998,19008
Jul-1998,18249
Aug-1998,17036
Sep-1998,17301
Oct-1998,17934
Nov-1998,16167
Dec-1998,16575
Jan-1999,13949
Feb-1999,14508
Mar-1999,17711
Apr-1999,19541
May-1999,20560
Jun-1999,20511
Jul-1999,19363
Aug-1999,19000
Sep-1999,18459
Oct-1999,18709
Nov-1999,18190
Dec-1999,17789
Jan-2000,15381
Feb-2000,16170
Mar-2000,19956
Apr-2000,20044
May-2000,23003
Jun-2000,21690
Jul-2000,19639
Aug-2000,20171
Sep-2000,18751
Oct-2000,19482
Nov-2000,17816
Dec-2000,16891
Jan-2001,15734
Feb-2001,15638
Mar-2001,18978
Apr-2001,22735
May-2001,25115
Jun-2001,22931
Jul-2001,21200
Aug-2001,21084
Sep-2001,18749
Oct-2001,20965
Nov-2001,19029
Dec-2001,17221
Jan-2002,16519
Feb-2002,15999
Mar-2002,19179
Apr-2002,24464
May-2002,25657
Jun-2002,23283
Jul-2002,22545
Aug-2002,21540
Sep-2002,20167
Oct-2002,21694
Nov-2002,19520
Dec-2002,17972
Jan-2003,17198
Feb-2003,15575
Mar-2003,20174
Apr-2003,24295
May-2003,25849
Jun-2003,25064
Jul-2003,24447
Aug-2003,22659
Sep-2003,22817
Oct-2003,23976
Nov-2003,20795
Dec-2003,20614
Jan-2004,18081
Feb-2004,17862
Mar-2004,24942
Apr-2004,28261
May-2004,28431
Jun-2004,28623
Jul-2004,26162
Aug-2004,25578
Sep-2004,25136
Oct-2004,24833
Nov-2004,24035
Dec-2004,23330
Jan-2005,20056
Feb-2005,19965
Mar-2005,26297
Apr-2005,29822
May-2005,31644
Jun-2005,30931
Jul-2005,27368
Aug-2005,28332
Sep-2005,27402
Oct-2005,27708
Nov-2005,26720
Dec-2005,24557
Jan-2006,23330
Feb-2006,22823
Mar-2006,29657
Apr-2006,31112
May-2006,34154
Jun-2006,31748
Jul-2006,28225
Aug-2006,29303
Sep-2006,26467
Oct-2006,27821
Nov-2006,25932
Dec-2006,23558
Jan-2007,21936
Feb-2007,20803
Mar-2007,27282
Apr-2007,28882
May-2007,34219
Jun-2007,30194
Jul-2007,28511
Aug-2007,28261
Sep-2007,25243
Oct-2007,27380
Nov-2007,25850
Dec-2007,22293
Jan-2008,20551
Feb-2008,20311
Mar-2008,23894
Apr-2008,28686
May-2008,31911
Jun-2008,29255
Jul-2008,28610
Aug-2008,25409
Sep-2008,25079
Oct-2008,25728
Nov-2008,21708
Dec-2008,20691
Jan-2009,17600
Feb-2009,17064
Mar-2009,21503
Apr-2009,24970
May-2009,26952
Jun-2009,26356
Jul-2009,24004
Aug-2009,21522
Sep-2009,21302
Oct-2009,21265
Nov-2009,19916
Dec-2009,19183
Jan-2010,15348
Feb-2010,15469
Mar-2010,21691
Apr-2010,26688
May-2010,26238
Jun-2010,25451
Jul-2010,23100
Aug-2010,21698
Sep-2010,21261
Oct-2010,21883
Nov-2010,21462
Dec-2010,20277
Jan-2011,16004
Feb-2011,16002
Mar-2011,21963
Apr-2011,24378
May-2011,27713
Jun-2011,27011
Jul-2011,23528
Aug-2011,23730
Sep-2011,22499
Oct-2011,23077
Nov-2011,22372
Dec-2011,21203
Jan-2012,17980
Feb-2012,18500
Mar-2012,24156
Apr-2012,25989
May-2012,29379
Jun-2012,25774
Jul-2012,23921
Aug-2012,24169
Sep-2012,22324
Oct-2012,24658
Nov-2012,23510
Dec-2012,21173
Jan-2013,19320
Feb-2013,18699
Mar-2013,23213
Apr-2013,28891
May-2013,32811
Jun-2013,27864
Jul-2013,27599
Aug-2013,26242
Sep-2013,24428
Oct-2013,26281
Nov-2013,24010
Dec-2013,22439
Jan-2014,19922
Feb-2014,19028
Mar-2014,24404
Apr-2014,30530
May-2014,33864
Jun-2014,30500
Jul-2014,29070
Aug-2014,26861
Sep-2014,26628
Oct-2014,27795
Nov-2014,25257
Dec-2014,24493
Jan-2015,21126
Feb-2015,19882
Mar-2015,26479
Apr-2015,31450
May-2015,33203
Jun-2015,31600
Jul-2015,30562
Aug-2015,27779
Sep-2015,27549
Oct-2015,28374
Nov-2015,26731
Dec-2015,26876
Jan-2016,21968
Feb-2016,23157
Mar-2016,29911
Apr-2016,32399
May-2016,34650
Jun-2016,34154
Jul-2016,30050
Aug-2016,29849
Sep-2016,28761
Oct-2016,28481
Nov-2016,28480
Dec-2016,26837
Jan-2017,23330
Feb-2017,23486
Mar-2017,30536
Apr-2017,32663
May-2017,37261
Jun-2017,35011
Jul-2017,31485
Aug-2017,31789
Sep-2017,30404
Oct-2017,31151
Nov-2017,30562
Dec-2017,27944
Jan-2018,24612
Feb-2018,24579
Mar-2018,31074
Apr-2018,33446
May-2018,39555
Jun-2018,36422
Jul-2018,34473
Aug-2018,33371
Sep-2018,30494
Oct-2018,33769
Nov-2018,31017
Dec-2018,28501
Jan-2019,27578
Feb-2019,24888
Mar-2019,30900
Apr-2019,35122
May-2019,38372
Jun-2019,34575
Jul-2019,34755
Aug-2019,33434
Sep-2019,30948
Oct-2019,33719
Nov-2019,30731
Dec-2019,29493
Jan-2020,27887
Feb-2020,27164
Mar-2020,33087
Apr-2020,36783
May-2020,43298
Jun-2020,43116
Jul-2020,40308
Aug-2020,"NA"
Sep-2020,"NA"
Oct-2020,"NA"
Nov-2020,"NA"
Dec-2020,"NA"
