"U.S. Census Bureau"
"Source: Advance Monthly Sales for Retail and Food Services"
"4521: Department Stores: U.S. Total"
"Seasonally Adjusted Sales - Monthly [Millions of Dollars]"
"Period: 1992 to 2020"
"Data Extracted on: August 16, 2020 (3:20 pm)"

Period,Value
Jan-1992,14134
Feb-1992,14472
Mar-1992,14543
Apr-1992,14529
May-1992,14634
Jun-1992,14597
Jul-1992,14469
Aug-1992,14729
Sep-1992,14816
Oct-1992,14870
Nov-1992,14994
Dec-1992,15310
Jan-1993,15334
Feb-1993,15119
Mar-1993,14985
Apr-1993,15406
May-1993,15523
Jun-1993,15517
Jul-1993,15757
Aug-1993,15775
Sep-1993,15785
Oct-1993,15985
Nov-1993,15987
Dec-1993,15988
Jan-1994,16036
Feb-1994,16203
Mar-1994,16663
Apr-1994,16337
May-1994,16301
Jun-1994,16478
Jul-1994,16543
Aug-1994,16635
Sep-1994,16676
Oct-1994,16796
Nov-1994,16866
Dec-1994,16949
Jan-1995,17205
Feb-1995,16680
Mar-1995,16904
Apr-1995,16985
May-1995,16997
Jun-1995,17269
Jul-1995,17487
Aug-1995,17231
Sep-1995,17440
Oct-1995,17188
Nov-1995,17283
Dec-1995,17332
Jan-1996,17082
Feb-1996,17336
Mar-1996,17248
Apr-1996,17675
May-1996,17624
Jun-1996,17544
Jul-1996,17581
Aug-1996,17737
Sep-1996,17866
Oct-1996,18017
Nov-1996,17970
Dec-1996,18117
Jan-1997,18138
Feb-1997,18185
Mar-1997,18238
Apr-1997,18096
May-1997,18194
Jun-1997,18276
Jul-1997,18529
Aug-1997,18556
Sep-1997,18446
Oct-1997,18580
Nov-1997,18652
Dec-1997,18427
Jan-1998,18474
Feb-1998,18698
Mar-1998,18529
Apr-1998,18649
May-1998,18653
Jun-1998,18553
Jul-1998,18489
Aug-1998,18548
Sep-1998,18589
Oct-1998,18692
Nov-1998,18805
Dec-1998,18855
Jan-1999,19059
Feb-1999,19351
Mar-1999,19372
Apr-1999,19075
May-1999,19032
Jun-1999,19270
Jul-1999,19203
Aug-1999,19191
Sep-1999,19343
Oct-1999,19256
Nov-1999,19116
Dec-1999,19249
Jan-2000,19204
Feb-2000,19158
Mar-2000,19227
Apr-2000,19208
May-2000,19397
Jun-2000,19217
Jul-2000,19132
Aug-2000,19203
Sep-2000,19362
Oct-2000,19319
Nov-2000,19529
Dec-2000,19677
Jan-2001,19904
Feb-2001,19170
Mar-2001,18542
Apr-2001,19073
May-2001,18991
Jun-2001,18889
Jul-2001,19121
Aug-2001,19093
Sep-2001,18864
Oct-2001,18955
Nov-2001,19135
Dec-2001,19038
Jan-2002,18935
Feb-2002,18811
Mar-2002,18905
Apr-2002,19018
May-2002,18530
Jun-2002,18604
Jul-2002,18297
Aug-2002,18261
Sep-2002,18041
Oct-2002,18541
Nov-2002,18010
Dec-2002,17917
Jan-2003,17807
Feb-2003,17670
Mar-2003,17763
Apr-2003,17687
May-2003,17838
Jun-2003,17912
Jul-2003,18140
Aug-2003,18207
Sep-2003,18157
Oct-2003,17889
Nov-2003,17810
Dec-2003,17791
Jan-2004,17800
Feb-2004,17871
Mar-2004,18165
Apr-2004,17752
May-2004,17921
Jun-2004,17695
Jul-2004,17888
Aug-2004,17896
Sep-2004,17943
Oct-2004,18016
Nov-2004,17942
Dec-2004,18137
Jan-2005,18034
Feb-2005,18173
Mar-2005,17818
Apr-2005,18153
May-2005,17808
Jun-2005,18263
Jul-2005,17858
Aug-2005,17822
Sep-2005,17557
Oct-2005,18070
Nov-2005,18048
Dec-2005,17765
Jan-2006,18107
Feb-2006,17981
Mar-2006,17888
Apr-2006,17932
May-2006,17757
Jun-2006,17847
Jul-2006,17584
Aug-2006,17490
Sep-2006,17826
Oct-2006,17657
Nov-2006,17609
Dec-2006,17713
Jan-2007,18064
Feb-2007,17586
Mar-2007,17798
Apr-2007,17480
May-2007,17521
Jun-2007,17328
Jul-2007,17559
Aug-2007,17527
Sep-2007,17260
Oct-2007,17292
Nov-2007,17346
Dec-2007,17199
Jan-2008,16813
Feb-2008,16822
Mar-2008,16697
Apr-2008,16708
May-2008,16916
Jun-2008,17059
Jul-2008,16779
Aug-2008,16645
Sep-2008,16079
Oct-2008,16016
Nov-2008,16329
Dec-2008,15839
Jan-2009,15861
Feb-2009,15627
Mar-2009,15532
Apr-2009,15638
May-2009,15727
Jun-2009,15427
Jul-2009,15493
Aug-2009,15539
Sep-2009,15493
Oct-2009,15620
Nov-2009,15482
Dec-2009,15459
Jan-2010,15578
Feb-2010,15483
Mar-2010,15757
Apr-2010,15547
May-2010,15366
Jun-2010,15361
Jul-2010,15227
Aug-2010,15236
Sep-2010,15193
Oct-2010,15151
Nov-2010,15698
Dec-2010,15320
Jan-2011,15248
Feb-2011,15452
Mar-2011,15319
Apr-2011,15603
May-2011,15272
Jun-2011,15585
Jul-2011,15246
Aug-2011,15098
Sep-2011,15297
Oct-2011,15128
Nov-2011,15151
Dec-2011,15132
Jan-2012,15013
Feb-2012,15214
Mar-2012,15192
Apr-2012,14837
May-2012,14680
Jun-2012,14766
Jul-2012,14813
Aug-2012,14753
Sep-2012,14673
Oct-2012,14570
Nov-2012,14438
Dec-2012,14442
Jan-2013,14744
Feb-2013,14530
Mar-2013,14418
Apr-2013,14208
May-2013,14310
Jun-2013,14181
Jul-2013,14074
Aug-2013,14032
Sep-2013,14088
Oct-2013,14218
Nov-2013,14050
Dec-2013,13947
Jan-2014,13679
Feb-2014,14097
Mar-2014,14058
Apr-2014,14405
May-2014,14177
Jun-2014,13960
Jul-2014,14059
Aug-2014,14081
Sep-2014,13852
Oct-2014,13850
Nov-2014,13903
Dec-2014,13958
Jan-2015,13920
Feb-2015,13761
Mar-2015,13889
Apr-2015,13723
May-2015,13929
Jun-2015,13682
Jul-2015,13624
Aug-2015,13585
Sep-2015,13643
Oct-2015,13575
Nov-2015,13569
Dec-2015,13410
Jan-2016,13173
Feb-2016,13167
Mar-2016,13075
Apr-2016,12820
May-2016,12652
Jun-2016,12912
Jul-2016,12685
Aug-2016,12716
Sep-2016,12620
Oct-2016,12476
Nov-2016,12250
Dec-2016,12206
Jan-2017,12376
Feb-2017,12203
Mar-2017,12200
Apr-2017,12203
May-2017,12098
Jun-2017,12167
Jul-2017,11988
Aug-2017,11983
Sep-2017,12028
Oct-2017,11934
Nov-2017,11964
Dec-2017,11838
Jan-2018,12025
Feb-2018,12030
Mar-2018,11431
Apr-2018,12137
May-2018,12304
Jun-2018,11849
Jul-2018,11932
Aug-2018,11834
Sep-2018,11648
Oct-2018,11795
Nov-2018,11809
Dec-2018,11412
Jan-2019,11441
Feb-2019,11490
Mar-2019,11438
Apr-2019,11478
May-2019,11396
Jun-2019,11326
Jul-2019,11431
Aug-2019,11267
Sep-2019,11132
Oct-2019,11139
Nov-2019,11101
Dec-2019,11002
Jan-2020,11032
Feb-2020,11013
Mar-2020,8607
Apr-2020,6181
May-2020,8431
Jun-2020,9894
Jul-2020,9901
Aug-2020,"NA"
Sep-2020,"NA"
Oct-2020,"NA"
Nov-2020,"NA"
Dec-2020,"NA"
