"U.S. Census Bureau"
"Source: Advance Monthly Sales for Retail and Food Services"
"4521: Department Stores: U.S. Total"
"Not Seasonally Adjusted Sales - Monthly [Millions of Dollars]"
"Period: 1992 to 2020"
"Data Extracted on: August 16, 2020 (3:20 pm)"

Period,Value
Jan-1992,10306
Feb-1992,11251
Mar-1992,12917
Apr-1992,13461
May-1992,14286
Jun-1992,13354
Jul-1992,13101
Aug-1992,14783
Sep-1992,13323
Oct-1992,14961
Nov-1992,18128
Dec-1992,27218
Jan-1993,11164
Feb-1993,11300
Mar-1993,13411
Apr-1993,14245
May-1993,15110
Jun-1993,14345
Jul-1993,14348
Aug-1993,15461
Sep-1993,14478
Oct-1993,15971
Nov-1993,19064
Dec-1993,28788
Jan-1994,11666
Feb-1994,12160
Mar-1994,15196
Apr-1994,14901
May-1994,15504
Jun-1994,15622
Jul-1994,15036
Aug-1994,16426
Sep-1994,15248
Oct-1994,16680
Nov-1994,20226
Dec-1994,30280
Jan-1995,12260
Feb-1995,12603
Mar-1995,15448
Apr-1995,15729
May-1995,16337
Jun-1995,16399
Jul-1995,15922
Aug-1995,17050
Sep-1995,15981
Oct-1995,16574
Nov-1995,21138
Dec-1995,30479
Jan-1996,12299
Feb-1996,13768
Mar-1996,15808
Apr-1996,15957
May-1996,17454
Jun-1996,16655
Jul-1996,15768
Aug-1996,17932
Sep-1996,16092
Oct-1996,17462
Nov-1996,21389
Dec-1996,31619
Jan-1997,13463
Feb-1997,14077
Mar-1997,17084
Apr-1997,16180
May-1997,18118
Jun-1997,17259
Jul-1997,16673
Aug-1997,18633
Sep-1997,16229
Oct-1997,18259
Nov-1997,22114
Dec-1997,32019
Jan-1998,13887
Feb-1998,14640
Mar-1998,16616
Apr-1998,17544
May-1998,18581
Jun-1998,17234
Jul-1998,16908
Aug-1998,18362
Sep-1998,16467
Oct-1998,18211
Nov-1998,22164
Dec-1998,32676
Jan-1999,14480
Feb-1999,15239
Mar-1999,17851
Apr-1999,17704
May-1999,18935
Jun-1999,17955
Jul-1999,17549
Aug-1999,18510
Sep-1999,17383
Oct-1999,18513
Nov-1999,22213
Dec-1999,33972
Jan-2000,14728
Feb-2000,15413
Mar-2000,17867
Apr-2000,18184
May-2000,18976
Jun-2000,18156
Jul-2000,17353
Aug-2000,18742
Sep-2000,17269
Oct-2000,18016
Nov-2000,23454
Dec-2000,34317
Jan-2001,15153
Feb-2001,15220
Mar-2001,17229
Apr-2001,17969
May-2001,18535
Jun-2001,17841
Jul-2001,17025
Aug-2001,19083
Sep-2001,16676
Oct-2001,17800
Nov-2001,22954
Dec-2001,32892
Jan-2002,14536
Feb-2002,15102
Mar-2002,17916
Apr-2002,17156
May-2002,18339
Jun-2002,17449
Jul-2002,16449
Aug-2002,18307
Sep-2002,15831
Oct-2002,17523
Nov-2002,21076
Dec-2002,31059
Jan-2003,13970
Feb-2003,14357
Mar-2003,16371
Apr-2003,16375
May-2003,17570
Jun-2003,16639
Jul-2003,16385
Aug-2003,18182
Sep-2003,15669
Oct-2003,17319
Nov-2003,20818
Dec-2003,30815
Jan-2004,14053
Feb-2004,15157
Mar-2004,16440
Apr-2004,16697
May-2004,17467
Jun-2004,16282
Jul-2004,16454
Aug-2004,17203
Sep-2004,15985
Oct-2004,17446
Nov-2004,20724
Dec-2004,31783
Jan-2005,14218
Feb-2005,14943
Mar-2005,16601
Apr-2005,16666
May-2005,16947
Jun-2005,17150
Jul-2005,16323
Aug-2005,17199
Sep-2005,15506
Oct-2005,17456
Nov-2005,21171
Dec-2005,31086
Jan-2006,14033
Feb-2006,14800
Mar-2006,16490
Apr-2006,16811
May-2006,17005
Jun-2006,16706
Jul-2006,16025
Aug-2006,16997
Sep-2006,15781
Oct-2006,16675
Nov-2006,21167
Dec-2006,30665
Jan-2007,14119
Feb-2007,14441
Mar-2007,16534
Apr-2007,16091
May-2007,16924
Jun-2007,16307
Jul-2007,15653
Aug-2007,17283
Sep-2007,15254
Oct-2007,16354
Nov-2007,20878
Dec-2007,29554
Jan-2008,13214
Feb-2008,14291
Mar-2008,15765
Apr-2008,14947
May-2008,16640
Jun-2008,15883
Jul-2008,15142
Aug-2008,16425
Sep-2008,13868
Oct-2008,15392
Nov-2008,19420
Dec-2008,27249
Jan-2009,12651
Feb-2009,12869
Mar-2009,14058
Apr-2009,14575
May-2009,15380
Jun-2009,14202
Jul-2009,14171
Aug-2009,15338
Sep-2009,13506
Oct-2009,14973
Nov-2009,18276
Dec-2009,26584
Jan-2010,12298
Feb-2010,12819
Mar-2010,14632
Apr-2010,14183
May-2010,14922
Jun-2010,14273
Jul-2010,13955
Aug-2010,14709
Sep-2010,13520
Oct-2010,14387
Nov-2010,18416
Dec-2010,26641
Jan-2011,11895
Feb-2011,12857
Mar-2011,14178
Apr-2011,14513
May-2011,14484
Jun-2011,14719
Jul-2011,13901
Aug-2011,14675
Sep-2011,13598
Oct-2011,14264
Nov-2011,18035
Dec-2011,26242
Jan-2012,11430
Feb-2012,13169
Mar-2012,14448
Apr-2012,13579
May-2012,14111
Jun-2012,13909
Jul-2012,13145
Aug-2012,14710
Sep-2012,13123
Oct-2012,13482
Nov-2012,17610
Dec-2012,24597
Jan-2013,11299
Feb-2013,12029
Mar-2013,13905
Apr-2013,12544
May-2013,14013
Jun-2013,13309
Jul-2013,12574
Aug-2013,14117
Sep-2013,12481
Oct-2013,13290
Nov-2013,16858
Dec-2013,23775
Jan-2014,10581
Feb-2014,11587
Mar-2014,13228
Apr-2014,13061
May-2014,13977
Jun-2014,12963
Jul-2014,12675
Aug-2014,14116
Sep-2014,12109
Oct-2014,13144
Nov-2014,16793
Dec-2014,23834
Jan-2015,10772
Feb-2015,11204
Mar-2015,13144
Apr-2015,12320
May-2015,13661
Jun-2015,12534
Jul-2015,12528
Aug-2015,13628
Sep-2015,12014
Oct-2015,12933
Nov-2015,16313
Dec-2015,22980
Jan-2016,10089
Feb-2016,10970
Mar-2016,12450
Apr-2016,11539
May-2016,12120
Jun-2016,12160
Jul-2016,11710
Aug-2016,12565
Sep-2016,11278
Oct-2016,11783
Nov-2016,14722
Dec-2016,21185
Jan-2017,9232
Feb-2017,9765
Mar-2017,11453
Apr-2017,11291
May-2017,11664
Jun-2017,11405
Jul-2017,11153
Aug-2017,11969
Sep-2017,10745
Oct-2017,11030
Nov-2017,14719
Dec-2017,20241
Jan-2018,9025
Feb-2018,9587
Mar-2018,11400
Apr-2018,10514
May-2018,11976
Jun-2018,11129
Jul-2018,10948
Aug-2018,12047
Sep-2018,10351
Oct-2018,10979
Nov-2018,14546
Dec-2018,19076
Jan-2019,8657
Feb-2019,9142
Mar-2019,10645
Apr-2019,10456
May-2019,11299
Jun-2019,10625
Jul-2019,10630
Aug-2019,11550
Sep-2019,9762
Oct-2019,10456
Nov-2019,13401
Dec-2019,18403
Jan-2020,8479
Feb-2020,9139
Mar-2020,7871
Apr-2020,5804
May-2020,8346
Jun-2020,9109
Jul-2020,9503
Aug-2020,"NA"
Sep-2020,"NA"
Oct-2020,"NA"
Nov-2020,"NA"
Dec-2020,"NA"
