"U.S. Census Bureau"
"Source: Advance Monthly Sales for Retail and Food Services"
"722: Food Services and Drinking Places: U.S. Total"
"Seasonally Adjusted Sales - Monthly [Millions of Dollars]"
"Period: 1992 to 2020"
"Data Extracted on: August 16, 2020 (3:20 pm)"

Period,Value
Jan-1992,17170
Feb-1992,16990
Mar-1992,16916
Apr-1992,16677
May-1992,16602
Jun-1992,16277
Jul-1992,16496
Aug-1992,16733
Sep-1992,16812
Oct-1992,17104
Nov-1992,17420
Dec-1992,17491
Jan-1993,17553
Feb-1993,17478
Mar-1993,17554
Apr-1993,17770
May-1993,17821
Jun-1993,18030
Jul-1993,17927
Aug-1993,18201
Sep-1993,18515
Oct-1993,18199
Nov-1993,18153
Dec-1993,18238
Jan-1994,17624
Feb-1994,18425
Mar-1994,18813
Apr-1994,18533
May-1994,18600
Jun-1994,18889
Jul-1994,18962
Aug-1994,18868
Sep-1994,18978
Oct-1994,19010
Nov-1994,19028
Dec-1994,19178
Jan-1995,19160
Feb-1995,18911
Mar-1995,19234
Apr-1995,19346
May-1995,19450
Jun-1995,19419
Jul-1995,19489
Aug-1995,19715
Sep-1995,19640
Oct-1995,19611
Nov-1995,19609
Dec-1995,19625
Jan-1996,19564
Feb-1996,19742
Mar-1996,19862
Apr-1996,19932
May-1996,20094
Jun-1996,19932
Jul-1996,20145
Aug-1996,20140
Sep-1996,20397
Oct-1996,20551
Nov-1996,20789
Dec-1996,20707
Jan-1997,21110
Feb-1997,21136
Mar-1997,21171
Apr-1997,21216
May-1997,21230
Jun-1997,21382
Jul-1997,21689
Aug-1997,21674
Sep-1997,21986
Oct-1997,21758
Nov-1997,21504
Dec-1997,21818
Jan-1998,21921
Feb-1998,22132
Mar-1998,22251
Apr-1998,22353
May-1998,22436
Jun-1998,22634
Jul-1998,22570
Aug-1998,22743
Sep-1998,22830
Oct-1998,23066
Nov-1998,23157
Dec-1998,23351
Jan-1999,22871
Feb-1999,23270
Mar-1999,23250
Apr-1999,23440
May-1999,23500
Jun-1999,23546
Jul-1999,23508
Aug-1999,23664
Sep-1999,23836
Oct-1999,24265
Nov-1999,24421
Dec-1999,24378
Jan-2000,24608
Feb-2000,24887
Mar-2000,25367
Apr-2000,25215
May-2000,25193
Jun-2000,25262
Jul-2000,25454
Aug-2000,25342
Sep-2000,25711
Oct-2000,25706
Nov-2000,25698
Dec-2000,25133
Jan-2001,26180
Feb-2001,26069
Mar-2001,26122
Apr-2001,26045
May-2001,26278
Jun-2001,26379
Jul-2001,26507
Aug-2001,26853
Sep-2001,26239
Oct-2001,26541
Nov-2001,26597
Dec-2001,27156
Jan-2002,27201
Feb-2002,27384
Mar-2002,27203
Apr-2002,27500
May-2002,27378
Jun-2002,27586
Jul-2002,27616
Aug-2002,27607
Sep-2002,27784
Oct-2002,27623
Nov-2002,27916
Dec-2002,28017
Jan-2003,28018
Feb-2003,27979
Mar-2003,28505
Apr-2003,28403
May-2003,29048
Jun-2003,29230
Jul-2003,29395
Aug-2003,29844
Sep-2003,29503
Oct-2003,30045
Nov-2003,30229
Dec-2003,29795
Jan-2004,30341
Feb-2004,30461
Mar-2004,30703
Apr-2004,30560
May-2004,30712
Jun-2004,30825
Jul-2004,31191
Aug-2004,31036
Sep-2004,31430
Oct-2004,31625
Nov-2004,31659
Dec-2004,32111
Jan-2005,32000
Feb-2005,32469
Mar-2005,32273
Apr-2005,32823
May-2005,32746
Jun-2005,33009
Jul-2005,33056
Aug-2005,33261
Sep-2005,33283
Oct-2005,33618
Nov-2005,34022
Dec-2005,33932
Jan-2006,34983
Feb-2006,34535
Mar-2006,34796
Apr-2006,34862
May-2006,34910
Jun-2006,34695
Jul-2006,34802
Aug-2006,35367
Sep-2006,35725
Oct-2006,35784
Nov-2006,35923
Dec-2006,36881
Jan-2007,36435
Feb-2007,36053
Mar-2007,36579
Apr-2007,36627
May-2007,36732
Jun-2007,37078
Jul-2007,37272
Aug-2007,37189
Sep-2007,37427
Oct-2007,37759
Nov-2007,37727
Dec-2007,38109
Jan-2008,37824
Feb-2008,37249
Mar-2008,37552
Apr-2008,37729
May-2008,38089
Jun-2008,38144
Jul-2008,38267
Aug-2008,38239
Sep-2008,38386
Oct-2008,38120
Nov-2008,38018
Dec-2008,38066
Jan-2009,38256
Feb-2009,37945
Mar-2009,37447
Apr-2009,37738
May-2009,37755
Jun-2009,37714
Jul-2009,37715
Aug-2009,37645
Sep-2009,37474
Oct-2009,37500
Nov-2009,37700
Dec-2009,37659
Jan-2010,37660
Feb-2010,38267
Mar-2010,38339
Apr-2010,38658
May-2010,38659
Jun-2010,38877
Jul-2010,39033
Aug-2010,39402
Sep-2010,39385
Oct-2010,39479
Nov-2010,39710
Dec-2010,39508
Jan-2011,39658
Feb-2011,40382
Mar-2011,40536
Apr-2011,40624
May-2011,41050
Jun-2011,41540
Jul-2011,41516
Aug-2011,41718
Sep-2011,42013
Oct-2011,42204
Nov-2011,42237
Dec-2011,41864
Jan-2012,42766
Feb-2012,42995
Mar-2012,42942
Apr-2012,43365
May-2012,43313
Jun-2012,43584
Jul-2012,43676
Aug-2012,43755
Sep-2012,44085
Oct-2012,43796
Nov-2012,44567
Dec-2012,44494
Jan-2013,45138
Feb-2013,44861
Mar-2013,45042
Apr-2013,44711
May-2013,44800
Jun-2013,44680
Jul-2013,45032
Aug-2013,45133
Sep-2013,45330
Oct-2013,45924
Nov-2013,46737
Dec-2013,46311
Jan-2014,45917
Feb-2014,46418
Mar-2014,47057
Apr-2014,47142
May-2014,47536
Jun-2014,47704
Jul-2014,48065
Aug-2014,48346
Sep-2014,48929
Oct-2014,49541
Nov-2014,49598
Dec-2014,50379
Jan-2015,50644
Feb-2015,50547
Mar-2015,50932
Apr-2015,51614
May-2015,51688
Jun-2015,51783
Jul-2015,52047
Aug-2015,52390
Sep-2015,52386
Oct-2015,52781
Nov-2015,52985
Dec-2015,53855
Jan-2016,53115
Feb-2016,54262
Mar-2016,53936
Apr-2016,54221
May-2016,54248
Jun-2016,54229
Jul-2016,54264
Aug-2016,54677
Sep-2016,55265
Oct-2016,55249
Nov-2016,56233
Dec-2016,55323
Jan-2017,57232
Feb-2017,57358
Mar-2017,57229
Apr-2017,57325
May-2017,57363
Jun-2017,57159
Jul-2017,57137
Aug-2017,57472
Sep-2017,57838
Oct-2017,58106
Nov-2017,58807
Dec-2017,59119
Jan-2018,59402
Feb-2018,59782
Mar-2018,60237
Apr-2018,59544
May-2018,60815
Jun-2018,61482
Jul-2018,62293
Aug-2018,62634
Sep-2018,61378
Oct-2018,61798
Nov-2018,61577
Dec-2018,61588
Jan-2019,61616
Feb-2019,62219
Mar-2019,62677
Apr-2019,63076
May-2019,63714
Jun-2019,64358
Jul-2019,64713
Aug-2019,64609
Sep-2019,64984
Oct-2019,64875
Nov-2019,64254
Dec-2019,64955
Jan-2020,65554
Feb-2020,65359
Mar-2020,45728
Apr-2020,30032
May-2020,39430
Jun-2020,49945
Jul-2020,52465
Aug-2020,"NA"
Sep-2020,"NA"
Oct-2020,"NA"
Nov-2020,"NA"
Dec-2020,"NA"
