"U.S. Census Bureau"
"Source: Advance Monthly Sales for Retail and Food Services"
"722: Food Services and Drinking Places: U.S. Total"
"Not Seasonally Adjusted Sales - Monthly [Millions of Dollars]"
"Period: 1992 to 2020"
"Data Extracted on: August 16, 2020 (3:20 pm)"

Period,Value
Jan-1992,15693
Feb-1992,15835
Mar-1992,16848
Apr-1992,16494
May-1992,17648
Jun-1992,16814
Jul-1992,17304
Aug-1992,17888
Sep-1992,16459
Oct-1992,17668
Nov-1992,16723
Dec-1992,17491
Jan-1993,16201
Feb-1993,15625
Mar-1993,17414
Apr-1993,17841
May-1993,18712
Jun-1993,18571
Jul-1993,19092
Aug-1993,19329
Sep-1993,18108
Oct-1993,18745
Nov-1993,17463
Dec-1993,18366
Jan-1994,16073
Feb-1994,16509
Mar-1994,18757
Apr-1994,18774
May-1994,19400
Jun-1994,19437
Jul-1994,20157
Aug-1994,19943
Sep-1994,18826
Oct-1994,19314
Nov-1994,18248
Dec-1994,19562
Jan-1995,17340
Feb-1995,16982
Mar-1995,19369
Apr-1995,19404
May-1995,20209
Jun-1995,20235
Jul-1995,20502
Aug-1995,20878
Sep-1995,19601
Oct-1995,19768
Nov-1995,18785
Dec-1995,19939
Jan-1996,17647
Feb-1996,18439
Mar-1996,20259
Apr-1996,19832
May-1996,21139
Jun-1996,20669
Jul-1996,20971
Aug-1996,21792
Sep-1996,19826
Oct-1996,20736
Nov-1996,20332
Dec-1996,20603
Jan-1997,19316
Feb-1997,19128
Mar-1997,21383
Apr-1997,21110
May-1997,22674
Jun-1997,21874
Jul-1997,22665
Aug-1997,23300
Sep-1997,21392
Oct-1997,22106
Nov-1997,20751
Dec-1997,21665
Jan-1998,20408
Feb-1998,20096
Mar-1998,22340
Apr-1998,22241
May-1998,23872
Jun-1998,23200
Jul-1998,23744
Aug-1998,23857
Sep-1998,22328
Oct-1998,23735
Nov-1998,22022
Dec-1998,23351
Jan-1999,21316
Feb-1999,21199
Mar-1999,23320
Apr-1999,23674
May-1999,24651
Jun-1999,24088
Jul-1999,25059
Aug-1999,24611
Sep-1999,23240
Oct-1999,24847
Nov-1999,23249
Dec-1999,24646
Jan-2000,22713
Feb-2000,23493
Mar-2000,25798
Apr-2000,25366
May-2000,26125
Jun-2000,26222
Jul-2000,26701
Aug-2000,26457
Sep-2000,25531
Oct-2000,25732
Nov-2000,24362
Dec-2000,25761
Jan-2001,23955
Feb-2001,23801
Mar-2001,27010
Apr-2001,25863
May-2001,27355
Jun-2001,27566
Jul-2001,27594
Aug-2001,28303
Sep-2001,25714
Oct-2001,26408
Nov-2001,25533
Dec-2001,27536
Jan-2002,25052
Feb-2002,25002
Mar-2002,28128
Apr-2002,27390
May-2002,28720
Jun-2002,28469
Jul-2002,28638
Aug-2002,29540
Sep-2002,26839
Oct-2002,27595
Nov-2002,26967
Dec-2002,28185
Jan-2003,26057
Feb-2003,25573
Mar-2003,29161
Apr-2003,28261
May-2003,30907
Jun-2003,29756
Jul-2003,30600
Aug-2003,31844
Sep-2003,28559
Oct-2003,30255
Nov-2003,28869
Dec-2003,29884
Jan-2004,28642
Feb-2004,28755
Mar-2004,31133
Apr-2004,30866
May-2004,32155
Jun-2004,31380
Jul-2004,33125
Aug-2004,32184
Sep-2004,30550
Oct-2004,32258
Nov-2004,29981
Dec-2004,32528
Jan-2005,29792
Feb-2005,29742
Mar-2005,32757
Apr-2005,33578
May-2005,34056
Jun-2005,33570
Jul-2005,34940
Aug-2005,34292
Sep-2005,32850
Oct-2005,33921
Nov-2005,32083
Dec-2005,34882
Jan-2006,32394
Feb-2006,31634
Mar-2006,35840
Apr-2006,35141
May-2006,36167
Jun-2006,35771
Jul-2006,36298
Aug-2006,36640
Sep-2006,35439
Oct-2006,35820
Nov-2006,33839
Dec-2006,37803
Jan-2007,33593
Feb-2007,33097
Mar-2007,38225
Apr-2007,36554
May-2007,38311
Jun-2007,38450
Jul-2007,38539
Aug-2007,38825
Sep-2007,36791
Oct-2007,37608
Nov-2007,35954
Dec-2007,38604
Jan-2008,35063
Feb-2008,35722
Mar-2008,38491
Apr-2008,37918
May-2008,40679
Jun-2008,38716
Jul-2008,39568
Aug-2008,40419
Sep-2008,37234
Oct-2008,38425
Nov-2008,36307
Dec-2008,37723
Jan-2009,36190
Feb-2009,34947
Mar-2009,38458
Apr-2009,37813
May-2009,40247
Jun-2009,38355
Jul-2009,39224
Aug-2009,38887
Sep-2009,36575
Oct-2009,38250
Nov-2009,35513
Dec-2009,37546
Jan-2010,35513
Feb-2010,35359
Mar-2010,39374
Apr-2010,39393
May-2010,40785
Jun-2010,39421
Jul-2010,41024
Aug-2010,40308
Sep-2010,38361
Oct-2010,40150
Nov-2010,37447
Dec-2010,39785
Jan-2011,36961
Feb-2011,37394
Mar-2011,42036
Apr-2011,41761
May-2011,43020
Jun-2011,42080
Jul-2011,43301
Aug-2011,42385
Sep-2011,41383
Oct-2011,42415
Nov-2011,39703
Dec-2011,42911
Jan-2012,39644
Feb-2012,40931
Mar-2012,45647
Apr-2012,43755
May-2012,45479
Jun-2012,44892
Jul-2012,44506
Aug-2012,44936
Sep-2012,43027
Oct-2012,43577
Nov-2012,42472
Dec-2012,45295
Jan-2013,41798
Feb-2013,41496
Mar-2013,47564
Apr-2013,45560
May-2013,47488
Jun-2013,45440
Jul-2013,45482
Aug-2013,46893
Sep-2013,43653
Oct-2013,46062
Nov-2013,45288
Dec-2013,46589
Jan-2014,42932
Feb-2014,42890
Mar-2014,49410
Apr-2014,47708
May-2014,51054
Jun-2014,47895
Jul-2014,48690
Aug-2014,50086
Sep-2014,47070
Oct-2014,50135
Nov-2014,47614
Dec-2014,50732
Jan-2015,47960
Feb-2015,46604
Mar-2015,53122
Apr-2015,52285
May-2015,55409
Jun-2015,52042
Jul-2015,53140
Aug-2015,53176
Sep-2015,50762
Oct-2015,54048
Nov-2015,50283
Dec-2015,54663
Jan-2016,50087
Feb-2016,51495
Mar-2016,55878
Apr-2016,56336
May-2016,57015
Jun-2016,54609
Jul-2016,56000
Aug-2016,55169
Sep-2016,54270
Oct-2016,55691
Nov-2016,53253
Dec-2016,57425
Jan-2017,52825
Feb-2017,52655
Mar-2017,60033
Apr-2017,58472
May-2017,60059
Jun-2017,58588
Jul-2017,58451
Aug-2017,58507
Sep-2017,57086
Oct-2017,58164
Nov-2017,55690
Dec-2017,61129
Jan-2018,54531
Feb-2018,54760
Mar-2018,63490
Apr-2018,60259
May-2018,64038
Jun-2018,63572
Jul-2018,63539
Aug-2018,64576
Sep-2018,59966
Oct-2018,61613
Nov-2018,58991
Dec-2018,62820
Jan-2019,56748
Feb-2019,56868
Mar-2019,66187
Apr-2019,63454
May-2019,67664
Jun-2019,66031
Jul-2019,65943
Aug-2019,67710
Sep-2019,62775
Oct-2019,65005
Nov-2019,62326
Dec-2019,65085
Jan-2020,60769
Feb-2020,62091
Mar-2020,47328
Apr-2020,30122
May-2020,42308
Jun-2020,50894
Jul-2020,54406
Aug-2020,"NA"
Sep-2020,"NA"
Oct-2020,"NA"
Nov-2020,"NA"
Dec-2020,"NA"
