"U.S. Census Bureau"
"Source: Advance Monthly Sales for Retail and Food Services"
"4451: Grocery Stores: U.S. Total"
"Not Seasonally Adjusted Sales - Monthly [Millions of Dollars]"
"Period: 1992 to 2020"
"Data Extracted on: August 16, 2020 (3:19 pm)"

Period,Value
Jan-1992,27306
Feb-1992,26223
Mar-1992,27235
Apr-1992,27588
May-1992,28883
Jun-1992,28039
Jul-1992,29479
Aug-1992,28645
Sep-1992,27475
Oct-1992,28583
Nov-1992,27620
Dec-1992,30294
Jan-1993,27571
Feb-1993,25748
Mar-1993,27911
Apr-1993,28112
May-1993,29096
Jun-1993,28576
Jul-1993,30067
Aug-1993,28470
Sep-1993,28022
Oct-1993,28532
Nov-1993,28081
Dec-1993,31132
Jan-1994,27889
Feb-1994,26175
Mar-1994,29261
Apr-1994,28529
May-1994,29402
Jun-1994,29721
Jul-1994,30344
Aug-1994,29792
Sep-1994,29102
Oct-1994,29079
Nov-1994,29077
Dec-1994,32152
Jan-1995,28629
Feb-1995,26762
Mar-1995,29708
Apr-1995,29086
May-1995,30388
Jun-1995,30229
Jul-1995,30654
Aug-1995,30434
Sep-1995,29378
Oct-1995,29068
Nov-1995,29619
Dec-1995,32454
Jan-1996,29172
Feb-1996,28191
Mar-1996,30245
Apr-1996,29344
May-1996,31364
Jun-1996,30470
Jul-1996,31377
Aug-1996,31747
Sep-1996,29495
Oct-1996,30674
Nov-1996,31014
Dec-1996,32454
Jan-1997,30534
Feb-1997,27985
Mar-1997,31513
Apr-1997,29853
May-1997,32412
Jun-1997,30527
Jul-1997,32232
Aug-1997,32032
Sep-1997,30142
Oct-1997,31319
Nov-1997,31032
Dec-1997,32989
Jan-1998,30679
Feb-1998,27947
Mar-1998,30501
Apr-1998,30826
May-1998,32456
Jun-1998,31215
Jul-1998,33067
Aug-1998,32220
Sep-1998,31005
Oct-1998,32214
Nov-1998,31377
Dec-1998,34681
Jan-1999,31516
Feb-1999,29413
Mar-1999,32451
Apr-1999,31948
May-1999,33727
Jun-1999,32568
Jul-1999,34568
Aug-1999,32944
Sep-1999,32624
Oct-1999,32935
Nov-1999,32510
Dec-1999,37046
Jan-2000,31336
Feb-2000,30515
Mar-2000,33216
Apr-2000,33004
May-2000,34085
Jun-2000,33880
Jul-2000,34517
Aug-2000,34225
Sep-2000,33324
Oct-2000,33190
Nov-2000,33969
Dec-2000,37254
Jan-2001,33236
Feb-2001,31488
Mar-2001,34856
Apr-2001,33685
May-2001,36068
Jun-2001,35215
Jul-2001,35418
Aug-2001,35919
Sep-2001,34379
Oct-2001,34847
Nov-2001,35308
Dec-2001,37708
Jan-2002,34533
Feb-2002,32024
Mar-2002,35863
Apr-2002,33190
May-2002,36478
Jun-2002,34933
Jul-2002,35885
Aug-2002,36025
Sep-2002,33610
Oct-2002,34885
Nov-2002,35649
Dec-2002,36738
Jan-2003,35384
Feb-2003,32440
Mar-2003,35265
Apr-2003,34854
May-2003,37057
Jun-2003,35212
Jul-2003,37108
Aug-2003,36644
Sep-2003,34697
Oct-2003,35870
Nov-2003,35786
Dec-2003,37670
Jan-2004,36475
Feb-2004,33701
Mar-2004,35892
Apr-2004,35876
May-2004,37733
Jun-2004,36362
Jul-2004,38170
Aug-2004,36607
Sep-2004,36360
Oct-2004,37004
Nov-2004,36876
Dec-2004,40080
Jan-2005,37176
Feb-2005,34286
Mar-2005,38210
Apr-2005,36908
May-2005,38742
Jun-2005,38219
Jul-2005,39289
Aug-2005,38627
Sep-2005,37844
Oct-2005,38251
Nov-2005,38354
Dec-2005,41761
Jan-2006,37489
Feb-2006,35506
Mar-2006,38827
Apr-2006,38269
May-2006,40341
Jun-2006,39569
Jul-2006,40357
Aug-2006,40340
Sep-2006,38766
Oct-2006,39322
Nov-2006,39989
Dec-2006,42924
Jan-2007,39649
Feb-2007,37150
Mar-2007,40815
Apr-2007,39244
May-2007,42207
Jun-2007,41279
Jul-2007,41619
Aug-2007,41896
Sep-2007,40191
Oct-2007,40924
Nov-2007,41910
Dec-2007,44476
Jan-2008,41864
Feb-2008,39915
Mar-2008,42590
Apr-2008,40966
May-2008,44549
Jun-2008,42299
Jul-2008,44057
Aug-2008,44010
Sep-2008,41378
Oct-2008,42811
Nov-2008,42751
Dec-2008,44032
Jan-2009,42942
Feb-2009,38522
Mar-2009,41312
Apr-2009,41781
May-2009,44034
Jun-2009,42147
Jul-2009,43839
Aug-2009,42995
Sep-2009,41538
Oct-2009,43020
Nov-2009,42508
Dec-2009,45395
Jan-2010,42985
Feb-2010,40061
Mar-2010,43434
Apr-2010,42236
May-2010,44607
Jun-2010,42877
Jul-2010,44559
Aug-2010,43431
Sep-2010,42642
Oct-2010,43536
Nov-2010,43724
Dec-2010,46658
Jan-2011,44282
Feb-2011,41229
Mar-2011,45068
Apr-2011,45586
May-2011,46318
Jun-2011,45883
Jul-2011,47171
Aug-2011,46448
Sep-2011,44877
Oct-2011,45725
Nov-2011,46046
Dec-2011,48843
Jan-2012,45462
Feb-2012,44174
Mar-2012,47408
Apr-2012,45754
May-2012,48420
Jun-2012,47217
Jul-2012,47473
Aug-2012,48047
Sep-2012,46047
Oct-2012,46975
Nov-2012,47310
Dec-2012,49358
Jan-2013,47077
Feb-2013,43830
Mar-2013,48862
Apr-2013,45308
May-2013,49542
Jun-2013,47759
Jul-2013,48781
Aug-2013,49287
Sep-2013,46503
Oct-2013,48291
Nov-2013,48917
Dec-2013,50390
Jan-2014,49165
Feb-2014,45122
Mar-2014,49033
Apr-2014,48727
May-2014,51776
Jun-2014,49458
Jul-2014,51374
Aug-2014,51298
Sep-2014,48826
Oct-2014,50995
Nov-2014,50946
Dec-2014,52883
Jan-2015,51377
Feb-2015,46905
Mar-2015,50933
Apr-2015,49828
May-2015,52888
Jun-2015,50610
Jul-2015,52738
Aug-2015,51738
Sep-2015,49863
Oct-2015,51595
Nov-2015,50972
Dec-2015,53712
Jan-2016,51635
Feb-2016,48543
Mar-2016,52006
Apr-2016,50268
May-2016,52740
Jun-2016,51995
Jul-2016,53016
Aug-2016,52094
Sep-2016,51015
Oct-2016,52241
Nov-2016,52347
Dec-2016,55981
Jan-2017,52120
Feb-2017,48805
Mar-2017,53915
Apr-2017,53191
May-2017,55250
Jun-2017,53743
Jul-2017,54704
Aug-2017,54629
Sep-2017,53701
Oct-2017,54116
Nov-2017,54992
Dec-2017,58647
Jan-2018,54471
Feb-2018,50561
Mar-2018,56897
Apr-2018,53212
May-2018,57377
Jun-2018,55626
Jul-2018,56217
Aug-2018,56496
Sep-2018,54381
Oct-2018,55444
Nov-2018,55933
Dec-2018,58482
Jan-2019,56547
Feb-2019,50662
Mar-2019,56503
Apr-2019,55315
May-2019,58830
Jun-2019,56948
Jul-2019,58557
Aug-2019,59028
Sep-2019,55217
Oct-2019,57258
Nov-2019,58185
Dec-2019,59812
Jan-2020,57667
Feb-2020,54814
Mar-2020,72608
Apr-2020,63230
May-2020,67124
Jun-2020,62852
Jul-2020,65743
Aug-2020,"NA"
Sep-2020,"NA"
Oct-2020,"NA"
Nov-2020,"NA"
Dec-2020,"NA"
