"U.S. Census Bureau"
"Source: Advance Monthly Sales for Retail and Food Services"
"44000: Retail Trade: U.S. Total"
"Seasonally Adjusted Sales - Monthly [Millions of Dollars]"
"Period: 1992 to 2020"
"Data Extracted on: August 16, 2020 (3:14 pm)"

Period,Value
Jan-1992,146925
Feb-1992,147223
Mar-1992,146805
Apr-1992,148032
May-1992,149010
Jun-1992,149800
Jul-1992,150761
Aug-1992,151067
Sep-1992,152588
Oct-1992,153521
Nov-1992,153583
Dec-1992,155614
Jan-1993,157555
Feb-1993,156266
Mar-1993,154752
Apr-1993,158979
May-1993,160605
Jun-1993,160127
Jul-1993,162816
Aug-1993,162506
Sep-1993,163258
Oct-1993,164685
Nov-1993,166594
Dec-1993,168161
Jan-1994,167518
Feb-1994,169649
Mar-1994,172766
Apr-1994,173106
May-1994,172329
Jun-1994,174241
Jul-1994,174781
Aug-1994,177295
Sep-1994,178787
Oct-1994,180561
Nov-1994,180703
Dec-1994,181524
Jan-1995,182413
Feb-1995,179488
Mar-1995,181013
Apr-1995,181686
May-1995,183536
Jun-1995,186081
Jul-1995,185431
Aug-1995,186806
Sep-1995,187366
Oct-1995,186565
Nov-1995,189055
Dec-1995,190774
Jan-1996,189135
Feb-1996,192266
Mar-1996,194029
Apr-1996,194744
May-1996,196205
Jun-1996,196136
Jul-1996,196187
Aug-1996,196218
Sep-1996,198859
Oct-1996,200509
Nov-1996,200174
Dec-1996,201284
Jan-1997,202371
Feb-1997,204286
Mar-1997,204990
Apr-1997,203399
May-1997,201699
Jun-1997,204675
Jul-1997,207014
Aug-1997,207635
Sep-1997,208326
Oct-1997,208078
Nov-1997,208936
Dec-1997,209363
Jan-1998,209666
Feb-1998,209552
Mar-1998,210832
Apr-1998,213633
May-1998,214639
Jun-1998,216337
Jul-1998,214841
Aug-1998,213636
Sep-1998,215720
Oct-1998,219483
Nov-1998,221134
Dec-1998,223179
Jan-1999,223997
Feb-1999,226250
Mar-1999,227417
Apr-1999,229037
May-1999,231235
Jun-1999,231903
Jul-1999,233948
Aug-1999,236566
Sep-1999,237481
Oct-1999,237553
Nov-1999,240544
Dec-1999,245485
Jan-2000,243436
Feb-2000,247133
Mar-2000,249825
Apr-2000,245831
May-2000,246201
Jun-2000,248160
Jul-2000,247176
Aug-2000,247576
Sep-2000,251837
Oct-2000,251221
Nov-2000,250331
Dec-2000,250658
Jan-2001,252654
Feb-2001,252704
Mar-2001,250328
Apr-2001,254763
May-2001,255218
Jun-2001,254022
Jul-2001,252997
Aug-2001,254560
Sep-2001,249845
Oct-2001,267999
Nov-2001,260514
Dec-2001,256549
Jan-2002,256307
Feb-2002,257670
Mar-2002,257059
Apr-2002,261333
May-2002,257573
Jun-2002,259786
Jul-2002,262769
Aug-2002,265043
Sep-2002,260626
Oct-2002,261953
Nov-2002,263568
Dec-2002,265930
Jan-2003,267230
Feb-2003,263188
Mar-2003,267820
Apr-2003,267197
May-2003,267362
Jun-2003,270396
Jul-2003,273352
Aug-2003,277965
Sep-2003,276430
Oct-2003,274764
Nov-2003,278298
Dec-2003,277612
Jan-2004,278913
Feb-2004,280932
Mar-2004,286209
Apr-2004,282952
May-2004,288252
Jun-2004,284133
Jul-2004,287358
Aug-2004,287941
Sep-2004,293139
Oct-2004,295115
Nov-2004,296177
Dec-2004,299763
Jan-2005,296696
Feb-2005,300557
Mar-2005,301308
Apr-2005,303760
May-2005,301776
Jun-2005,310989
Jul-2005,313520
Aug-2005,310046
Sep-2005,310673
Oct-2005,310479
Nov-2005,313303
Dec-2005,313473
Jan-2006,322348
Feb-2006,320171
Mar-2006,320869
Apr-2006,322561
May-2006,321794
Jun-2006,323184
Jul-2006,324204
Aug-2006,325324
Sep-2006,323236
Oct-2006,322678
Nov-2006,323343
Dec-2006,326849
Jan-2007,327181
Feb-2007,327953
Mar-2007,330579
Apr-2007,329560
May-2007,334202
Jun-2007,331076
Jul-2007,332342
Aug-2007,334169
Sep-2007,335442
Oct-2007,337530
Nov-2007,341133
Dec-2007,336189
Jan-2008,337412
Feb-2008,334584
Mar-2008,335193
Apr-2008,334843
May-2008,337947
Jun-2008,338311
Jul-2008,336771
Aug-2008,334045
Sep-2008,328343
Oct-2008,314830
Nov-2008,301332
Dec-2008,294025
Jan-2009,298673
Feb-2009,297631
Mar-2009,292300
Apr-2009,293614
May-2009,296501
Jun-2009,302169
Jul-2009,302802
Aug-2009,309023
Sep-2009,301033
Oct-2009,304154
Nov-2009,306675
Dec-2009,308413
Jan-2010,308529
Feb-2010,308520
Mar-2010,316269
Apr-2010,318612
May-2010,315356
Jun-2010,315250
Jul-2010,315546
Aug-2010,317345
Sep-2010,319914
Oct-2010,324043
Nov-2010,327635
Dec-2010,329741
Jan-2011,332140
Feb-2011,334674
Mar-2011,337935
Apr-2011,340149
May-2011,339232
Jun-2011,341657
Jul-2011,341274
Aug-2011,342228
Sep-2011,345696
Oct-2011,347717
Nov-2011,349352
Dec-2011,349973
Jan-2012,352610
Feb-2012,357233
Mar-2012,358862
Apr-2012,356550
May-2012,356050
Jun-2012,352556
Jul-2012,353782
Aug-2012,358397
Sep-2012,361281
Oct-2012,362129
Nov-2012,363013
Dec-2012,364299
Jan-2013,367100
Feb-2013,372389
Mar-2013,369175
Apr-2013,367557
May-2013,369337
Jun-2013,370962
Jul-2013,373426
Aug-2013,372414
Sep-2013,372091
Oct-2013,373352
Nov-2013,373819
Dec-2013,376575
Jan-2014,372607
Feb-2014,378256
Mar-2014,382077
Apr-2014,386506
May-2014,386815
Jun-2014,387726
Jul-2014,388072
Aug-2014,391304
Sep-2014,389778
Oct-2014,390348
Nov-2014,391679
Dec-2014,388421
Jan-2015,385466
Feb-2015,384793
Mar-2015,390948
Apr-2015,390986
May-2015,394518
Jun-2015,395115
Jul-2015,397720
Aug-2015,397585
Sep-2015,396353
Oct-2015,394715
Nov-2015,396257
Dec-2015,397123
Jan-2016,395210
Feb-2016,398293
Mar-2016,397196
Apr-2016,398813
May-2016,400435
Jun-2016,404859
Jul-2016,404315
Aug-2016,404345
Sep-2016,406628
Oct-2016,407991
Nov-2016,406761
Dec-2016,412753
Jan-2017,416600
Feb-2017,416224
Mar-2017,415464
Apr-2017,418010
May-2017,415879
Jun-2017,417639
Jul-2017,417908
Aug-2017,418181
Sep-2017,428218
Oct-2017,428529
Nov-2017,431841
Dec-2017,433877
Jan-2018,433198
Feb-2018,435033
Mar-2018,434510
Apr-2018,436423
May-2018,441536
Jun-2018,439651
Jul-2018,441541
Aug-2018,440241
Sep-2018,441029
Oct-2018,446238
Nov-2018,446894
Dec-2018,435953
Jan-2019,443420
Feb-2019,442467
Mar-2019,449925
Apr-2019,452012
May-2019,453199
Jun-2019,454039
Jul-2019,456997
Aug-2019,459938
Sep-2019,457277
Oct-2019,459978
Nov-2019,460760
Dec-2019,460512
Jan-2020,464062
Feb-2020,461914
Mar-2020,438221
Apr-2020,382734
May-2020,448788
Jun-2020,479451
Jul-2020,483517
Aug-2020,"NA"
Sep-2020,"NA"
Oct-2020,"NA"
Nov-2020,"NA"
Dec-2020,"NA"
