"U.S. Census Bureau"
"Source: Advance Monthly Sales for Retail and Food Services"
"44000: Retail Trade: U.S. Total"
"Not Seasonally Adjusted Sales - Monthly [Millions of Dollars]"
"Period: 1992 to 2020"
"Data Extracted on: August 16, 2020 (3:17 pm)"

Period,Value
Jan-1992,130683
Feb-1992,131244
Mar-1992,142488
Apr-1992,147175
May-1992,152420
Jun-1992,151849
Jul-1992,152586
Aug-1992,152476
Sep-1992,148158
Oct-1992,155987
Nov-1992,154824
Dec-1992,191347
Jan-1993,137020
Feb-1993,134462
Mar-1993,153025
Apr-1993,158615
May-1993,163519
Jun-1993,162964
Jul-1993,164590
Aug-1993,163989
Sep-1993,159298
Oct-1993,163992
Nov-1993,169980
Dec-1993,206174
Jan-1994,145276
Feb-1994,146332
Mar-1994,173562
Apr-1994,170795
May-1994,175527
Jun-1994,178509
Jul-1994,173198
Aug-1994,182445
Sep-1994,175128
Oct-1994,178642
Nov-1994,184272
Dec-1994,221549
Jan-1995,158004
Feb-1995,155156
Mar-1995,181910
Apr-1995,176635
May-1995,190269
Jun-1995,191609
Jul-1995,182909
Aug-1995,193370
Sep-1995,182521
Oct-1995,184276
Nov-1995,193405
Dec-1995,227552
Jan-1996,167372
Feb-1996,173941
Mar-1996,191851
Apr-1996,191886
May-1996,205797
Jun-1996,196842
Jul-1996,197140
Aug-1996,204270
Sep-1996,189424
Oct-1996,201927
Nov-1996,203621
Dec-1996,237478
Jan-1997,181073
Feb-1997,178428
Mar-1997,203750
Apr-1997,199219
May-1997,211516
Jun-1997,205491
Jul-1997,208856
Aug-1997,211952
Sep-1997,201415
Oct-1997,210145
Nov-1997,207533
Dec-1997,249389
Jan-1998,187445
Feb-1998,183767
Mar-1998,207973
Apr-1998,212262
May-1998,221155
Jun-1998,220867
Jul-1998,217687
Aug-1998,216605
Sep-1998,208915
Oct-1998,220499
Nov-1998,218969
Dec-1998,265618
Jan-1999,196810
Feb-1999,199451
Mar-1999,230230
Apr-1999,227109
May-1999,237462
Jun-1999,236830
Jul-1999,236992
Aug-1999,240478
Sep-1999,230665
Oct-1999,233193
Nov-1999,240857
Dec-1999,293013
Jan-2000,213709
Feb-2000,227087
Mar-2000,253717
Apr-2000,239051
May-2000,257581
Jun-2000,255066
Jul-2000,244445
Aug-2000,257487
Sep-2000,243624
Oct-2000,245167
Nov-2000,252145
Dec-2000,294197
Jan-2001,226791
Feb-2001,223971
Mar-2001,253439
Apr-2001,249062
May-2001,268658
Jun-2001,260315
Jul-2001,251504
Aug-2001,266460
Sep-2001,236210
Oct-2001,265188
Nov-2001,262004
Dec-2001,298666
Jan-2002,230546
Feb-2002,228084
Mar-2002,257133
Apr-2002,257357
May-2002,271682
Jun-2002,260385
Jul-2002,266795
Aug-2002,277716
Sep-2002,246350
Oct-2002,259945
Nov-2002,263738
Dec-2002,308821
Jan-2003,242271
Feb-2003,233478
Mar-2003,264532
Apr-2003,265990
May-2003,281482
Jun-2003,271242
Jul-2003,279323
Aug-2003,285212
Sep-2003,265331
Oct-2003,273781
Nov-2003,272396
Dec-2003,327693
Jan-2004,252818
Feb-2004,253689
Mar-2004,287944
Apr-2004,284325
May-2004,296253
Jun-2004,289664
Jul-2004,294875
Aug-2004,294133
Sep-2004,282974
Oct-2004,287468
Nov-2004,294278
Dec-2004,354627
Jan-2005,263469
Feb-2005,265320
Mar-2005,306384
Apr-2005,302054
May-2005,311292
Jun-2005,317375
Jul-2005,316887
Aug-2005,321409
Sep-2005,300439
Oct-2005,302213
Nov-2005,311715
Dec-2005,370726
Jan-2006,286152
Feb-2006,282417
Mar-2006,326153
Apr-2006,316526
May-2006,337393
Jun-2006,330844
Jul-2006,325905
Aug-2006,339155
Sep-2006,310775
Oct-2006,312976
Nov-2006,323089
Dec-2006,380188
Jan-2007,295284
Feb-2007,290065
Mar-2007,335917
Apr-2007,321981
May-2007,353201
Jun-2007,338189
Jul-2007,333815
Aug-2007,349191
Sep-2007,317145
Oct-2007,331073
Nov-2007,341848
Dec-2007,387473
Jan-2008,307576
Feb-2008,308171
Mar-2008,334416
Apr-2008,331002
May-2008,357277
Jun-2008,339791
Jul-2008,344158
Aug-2008,342443
Sep-2008,313308
Oct-2008,311422
Nov-2008,299238
Dec-2008,346513
Jan-2009,273998
Feb-2009,264465
Mar-2009,290068
Apr-2009,292041
May-2009,307481
Jun-2009,306050
Jul-2009,308847
Aug-2009,314505
Sep-2009,288071
Oct-2009,300360
Nov-2009,303850
Dec-2009,362735
Jan-2010,279044
Feb-2010,275566
Mar-2010,321305
Apr-2010,316940
May-2010,324820
Jun-2010,319183
Jul-2010,320915
Aug-2010,322319
Sep-2010,307638
Oct-2010,315059
Nov-2010,328381
Dec-2010,386878
Jan-2011,298626
Feb-2011,299920
Mar-2011,345052
Apr-2011,339014
May-2011,348979
Jun-2011,346620
Jul-2011,341381
Aug-2011,352224
Sep-2011,333642
Oct-2011,337067
Nov-2011,351517
Dec-2011,408910
Jan-2012,315540
Feb-2012,331470
Mar-2012,368502
Apr-2012,349194
May-2012,373129
Jun-2012,356083
Jul-2012,351520
Aug-2012,372986
Sep-2012,342582
Oct-2012,355823
Nov-2012,368593
Dec-2012,416807
Jan-2013,333789
Feb-2013,332491
Mar-2013,374155
Apr-2013,362984
May-2013,389700
Jun-2013,369274
Jul-2013,376928
Aug-2013,388112
Sep-2013,352560
Oct-2013,369638
Nov-2013,378498
Dec-2013,430321
Jan-2014,340122
Feb-2014,337129
Mar-2014,383241
Apr-2014,383688
May-2014,408177
Jun-2014,385387
Jul-2014,394591
Aug-2014,401280
Sep-2014,374354
Oct-2014,388322
Nov-2014,391551
Dec-2014,451598
Jan-2015,350067
Feb-2015,341459
Mar-2015,392848
Apr-2015,387352
May-2015,409376
Jun-2015,397752
Jul-2015,406393
Aug-2015,404729
Sep-2015,382020
Oct-2015,392545
Nov-2015,396490
Dec-2015,464962
Jan-2016,351931
Feb-2016,363688
Mar-2016,405312
Apr-2016,395099
May-2016,413410
Jun-2016,410449
Jul-2016,406195
Aug-2016,416863
Sep-2016,394600
Oct-2016,397627
Nov-2016,414703
Dec-2016,483081
Jan-2017,369241
Feb-2017,365865
Mar-2017,423634
Apr-2017,408175
May-2017,435790
Jun-2017,424415
Jul-2017,418069
Aug-2017,433057
Sep-2017,413638
Oct-2017,418956
Nov-2017,443586
Dec-2017,498725
Jan-2018,390170
Feb-2018,381258
Mar-2018,445835
Apr-2018,421257
May-2018,465223
Jun-2018,444720
Jul-2018,442975
Aug-2018,457386
Sep-2018,418629
Oct-2018,443581
Nov-2018,461965
Dec-2018,496469
Jan-2019,401341
Feb-2019,386840
Mar-2019,449507
Apr-2019,445959
May-2019,479466
Jun-2019,452242
Jul-2019,466160
Aug-2019,477537
Sep-2019,433299
Oct-2019,460534
Nov-2019,473026
Dec-2019,526295
Jan-2020,421093
Feb-2020,417777
Mar-2020,434185
Apr-2020,380223
May-2020,465913
Jun-2020,485248
Jul-2020,498066
Aug-2020,"NA"
Sep-2020,"NA"
Oct-2020,"NA"
Nov-2020,"NA"
Dec-2020,"NA"
